NAME,ADDRESS,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,EMPLOYEES_NON_COMMERCIAL,ENROLLMENT_RANGE,CAPACITY_BEDS_RANGE,NUMBER_OF_SCHOOLS_RANGE,OPERATION_TYPE,OWNERSHIP_TYPE,NUMBER_OF_MEALS_PER_DAY_RANGE,AVERAGE_DAILY_CENSUS,PRIMARY_GPO,SECONDARY_GPO,TOTAL_PATIENT_DAYS,Market_Category
LINDEN HILL SCHOOL RESIDENTIAL TREATMENT,154 S MOUNTAIN RD,NORTHFIELD,MA,1360,9681.0,25011,FRANKLIN,8000.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,PRIVATE,51 TO 100,,,,,Healthcare
ORANGE SENIOR CENTER,135 E MAIN ST,ORANGE,MA,1364,6421.0,25011,FRANKLIN,8000.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
PETERSHAM CENTER SCHOOL DISTRICT,PO BOX 148,PETERSHAM,MA,1366,148.0,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,1-250,250 AND LESS,NOT APPLICABLE,1,UNCODED,PUBLIC,101 TO 250,,,,,Government Services
ROWE CENTER SUMMER CAMPS,PO BOX 273,ROWE,MA,1367,273.0,25011,FRANKLIN,8000.0,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,,Social Clubs
SHELBURNE SENIOR CENTER,7 MAIN ST,SHELBURNE FALLS,MA,1370,1114.0,25011,FRANKLIN,8000.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
ANCHORAGE NURSING HOME,904 MOHAWK TRL,SHELBURNE FALLS,MA,1370,9705.0,25011,FRANKLIN,8000.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,23.0,,,,Healthcare
FRONTIER SENIOR CENTER,67 N MAIN ST,SOUTH DEERFIELD,MA,1373,1012.0,25011,FRANKLIN,8000.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
COZY CORNER NURSING HOME,PO BOX 405,SUNDERLAND,MA,1375,405.0,25011,FRANKLIN,8000.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,33.0,,,,Healthcare
MONTAGUE SENIOR CENTER,PO BOX 166,TURNERS FALLS,MA,1376,166.0,25011,FRANKLIN,8000.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
FRANKLIN COUNTY VOCATIONAL TECH SCHOOL,82 INDUSTRIAL BLVD,TURNERS FALLS,MA,1376,1608.0,25011,FRANKLIN,8000.0,TECHNICAL AND TRADE SCHOOLS,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,,,,,Educational Instituions
FRANKLIN COUNTY TECHNICAL SCHOOL DIST,82 INDUSTRIAL BLVD,TURNERS FALLS,MA,1376,1608.0,25011,FRANKLIN,8000.0,SCHOOL DISTRICTS,UNCODED,501 TO 1000,NOT APPLICABLE,1,UNCODED,PUBLIC,501 TO 1000,,,,,Government Services
GILL-MONTAGUE REGIONAL SCHOOL DISTRICT,35 CROCKER AVE,TURNERS FALLS,MA,1376,1926.0,25011,FRANKLIN,8000.0,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,1001 TO 2000,,,,,Government Services
FARREN CARE CENTER INC,340 MONTAGUE CITY RD,TURNERS FALLS,MA,1376,1830.0,25011,FRANKLIN,8000.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,121.0,,,,Healthcare
LAKE GROVE AT MAPLE VALLEY RSDNTL TRTMNT,6 FARLEY RD,WENDELL,MA,1379,9706.0,25011,FRANKLIN,8000.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
THE HIGHLANDS,335 NICHOLS RD,FITCHBURG,MA,1420,1932.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,161.0,,,,Healthcare
HEALTH ALLIANCE BURBANK HOSPITAL,275 NICHOLS RD,FITCHBURG,MA,1420,1919.0,25027,WORCESTER,1122.0,HOSPITALS,751-999,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,UNCODED,>2000,73.7,VHA Inc,Broadlane Inc,"26,903",Healthcare
FITCHBURG STATE COLLEGE,160 PEARL ST,FITCHBURG,MA,1420,2631.0,25027,WORCESTER,1122.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,OVER 5000,NOT APPLICABLE,NOT APPLICABLE,COMPASS,PUBLIC,>2000,,,,,Educational Instituions
FITCHBURG SENIOR CENTER,14 WALLACE AVE,FITCHBURG,MA,1420,3118.0,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
YMCA CAMP LOWE,55 WALLACE AVE,FITCHBURG,MA,1420,3136.0,25027,WORCESTER,1122.0,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,,Social Clubs
MONTACHUSETT REGIONAL VOC TECH SCH DIST,1050 WESTMINSTER ST,FITCHBURG,MA,1420,4649.0,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,UNCODED,1001 TO 2000,NOT APPLICABLE,1,UNCODED,PUBLIC,1001 TO 2000,,,,,Government Services
LUK CRISIS CTR-LUK BHVRL HLTH CLNC-AODA,545 WESTMINSTER ST,FITCHBURG,MA,1420,4727.0,25027,WORCESTER,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
HILLCREST NURSING HOME,94 SUMMER ST,FITCHBURG,MA,1420,5761.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,78.0,,,,Healthcare
ACADEMY SCHOOL,98 ACADEMY ST,FITCHBURG,MA,1420,7531.0,25027,WORCESTER,1122.0,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,,,,,Educational Instituions
HABIT MANAGEMENT INSTITUTE-SBSTNC ABUSE,155 AIRPORT RD,FITCHBURG,MA,1420,8142.0,25027,WORCESTER,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
MCLEAN AT NAUKEAG REHAB,216 LAKE RD,ASHBURNHAM,MA,1430,1207.0,25027,WORCESTER,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Healthcare
ASHBURNHAM COUNCIL ON AGING-SENIOR CTR,32 MAIN ST,ASHBURNHAM,MA,1430,1241.0,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
ASHBURNHAM-WESTMINSTER REG SCH DIST,11 OAKMONT DR,ASHBURNHAM,MA,1430,1670.0,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,3 TO 5,COMPASS,PUBLIC,>2000,,,,,Government Services
SUMMER CAMP CUSHING ACADEMY,PO BOX 8000,ASHBURNHAM,MA,1430,8000.0,25027,WORCESTER,1122.0,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,,Social Clubs
FEDERAL MEDICAL CENTER,PO BOX 880,AYER,MA,1432,880.0,25017,MIDDLESEX,1122.0,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,,Government Services
AYER PUBLIC SCHOOLS,141 WASHINGTON ST,AYER,MA,1432,1150.0,25017,MIDDLESEX,1122.0,SCHOOL DISTRICTS,UNCODED,1001 TO 2000,NOT APPLICABLE,2,UNCODED,PUBLIC,1001 TO 2000,,,,,Government Services
NASHOBA VALLEY MEDICAL CENTER,200 GROTON RD,AYER,MA,1432,1168.0,25017,MIDDLESEX,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,1001 TO 2000,,PREMIER,,,Healthcare
APPLE VALLEY CENTER,400 GROTON RD,AYER,MA,1432,1171.0,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,101.0,,,,Healthcare
THE CENTER SENIOR CENTER,18 POND ST,AYER,MA,1432,1656.0,25017,MIDDLESEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
BALDWINVILLE NURSING HOME,PO BOX 24,BALDWINVILLE,MA,1436,24.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,94.0,,,,Healthcare
NORTH CENTRAL HUMAN SERVICES-SBSTNC ABS,PO BOX 449,GARDNER,MA,1440,449.0,25027,WORCESTER,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
NORTH CENTRAL CORRECTIONAL INSTITUTION,PO BOX 466,GARDNER,MA,1440,466.0,25027,WORCESTER,1122.0,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,,Government Services
HEYWOOD HOSP TRANSITIONAL CARE CENTER,242 GREEN ST,GARDNER,MA,1440,1336.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,12.0,,,,Healthcare
MOUNT WACHUSETT COMMUNITY COLLEGE,444 GREEN ST,GARDNER,MA,1440,1378.0,25027,WORCESTER,1122.0,2 YEAR COLLEGE & UNIVERSITIES,UNCODED,2001 TO 5000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,>2000,,,,,Educational Instituions
GARDNER VNA ADULT DAY HEALTH CARE,34 PEARLY LN,GARDNER,MA,1440,1736.0,25027,WORCESTER,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,UNCODED,251 TO 500,,,,,Healthcare
WACHUSETT MANOR NURSING HOME,32 HOSPITAL HILL RD,GARDNER,MA,1440,2302.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,92.0,,,,Healthcare
GARDNER PUBLIC SCHOOL DISTRICT,70 WATERFORD ST,GARDNER,MA,1440,2525.0,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,,Government Services
GARDNER SENIOR CENTER,294 PLEASANT ST,GARDNER,MA,1440,2929.0,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
PATHWAY HOUSE GAAMHA-SUBSTANCE ABUSE SVC,171 GRAHAM ST,GARDNER,MA,1440,3847.0,25027,WORCESTER,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
LACHANCE CENTER FOR REHAB AND NURSING,59 EASTWOOD CIR,GARDNER,MA,1440,3901.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,109.0,PREMIER,,,Healthcare
GROTON-DUNSTABLE REGIONAL SCHOOL DIST,PO BOX 729,GROTON,MA,1450,729.0,25017,MIDDLESEX,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,,Government Services
SEVEN HILLS AT GROTON,22 HILLSIDE AVE,GROTON,MA,1450,1284.0,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,75.0,,,,Healthcare
HARVARD PUBLIC SCHOOL DISTRICT,39 MASS AVE,HARVARD,MA,1451,1702.0,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,2,UNCODED,PUBLIC,1001 TO 2000,,,,,Government Services
KEYSTONE CTR-GENESIS HEALTHCARE,44 KEYSTONE DR,LEOMINSTER,MA,1453,1904.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,81.0,,,,Healthcare
LIFE CARE CENTER OF LEOMINSTER,370 WEST ST,LEOMINSTER,MA,1453,2073.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,120.0,,,,Healthcare
HEALTH ALLIANCE HOSPITAL,60 HOSPITAL RD,LEOMINSTER,MA,1453,2205.0,25027,WORCESTER,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,ARAMARK,UNCODED,>2000,,,,,Healthcare
COMM HEALTHLINK LIPTON RES TREATMENT CTR,45 SUMMER ST,LEOMINSTER,MA,1453,3228.0,25027,WORCESTER,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
LEOMINSTER SENIOR CENTER,5 POND ST,LEOMINSTER,MA,1453,3530.0,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
LITTLETON MIDDLE SCHOOL,55 RUSSELL ST,LITTLETON,MA,1460,1216.0,25017,MIDDLESEX,1122.0,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,,,,,Educational Instituions
LITTLETON GROUP HOME,22 KING ST,LITTLETON,MA,1460,1519.0,25017,MIDDLESEX,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
LIFE CARE CENTER OF NASHOBA VALLEY,191 FOSTER ST,LITTLETON,MA,1460,2018.0,25017,MIDDLESEX,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,115.0,,,,Healthcare
NASHOBA CAMP,140 NASHOBA RD,LITTLETON,MA,1460,2224.0,25017,MIDDLESEX,1122.0,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,,Social Clubs
EAGLE HOUSE SENIOR CENTER,25 MEMORIAL DR,LUNENBURG,MA,1462,1438.0,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
LUNENBURG PUBLIC SCHOOL DISTRICT,1033 MASSACHUSETTS AVE,LUNENBURG,MA,1462,1432.0,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,,,,,Government Services
NISSITISSIT MIDDLE SCHOOL,33 CHASE AVE,PEPPERELL,MA,1463,1150.0,25017,MIDDLESEX,1122.0,PRIMARY SCHOOL,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,501 TO 1000,,,,,Educational Instituions
PEPPERELL COUNCIL ON AGING SENIOR CENTER,37 NASHUA RD,PEPPERELL,MA,1463,1415.0,25017,MIDDLESEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
MASSACHUSETTS CORRECTIONAL INST-SHIRLEY,PO BOX 1218,SHIRLEY,MA,1464,1218.0,25017,MIDDLESEX,1122.0,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,,Government Services
SOUZA-BARANOWSKI CORRECTIONAL CENTER,PO BOX 8000,SHIRLEY,MA,1464,8000.0,25017,MIDDLESEX,1122.0,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,,Government Services
TOWNSEND COUNCIL ON AGING -SENIOR CENTER,222 MAIN ST,TOWNSEND,MA,1469,1051.0,25017,MIDDLESEX,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
WINCHENDON PUBLIC SCHOOL DISTRICT,175 GROVE ST,WINCHENDON,MA,1475,1162.0,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,,,,,Government Services
THE WINCHENDON SCHOOL RSDNTL TREATMENT,172 ASH ST,WINCHENDON,MA,1475,1709.0,25027,WORCESTER,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,PRIVATE,51 TO 100,,,,,Healthcare
AUBURN PUBLIC SCHOOL DISTRICT,5 WEST ST,AUBURN,MA,1501,1301.0,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,,Government Services
LIFE CARE CENTER OF AUBURN,14 MASONIC CIR,AUBURN,MA,1501,1341.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,145.0,,,,Healthcare
AUBURN YOUTH AND FAMILY ERSVICES-AODA,21 PHEASANT CT,AUBURN,MA,1501,2457.0,25027,WORCESTER,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
LORRAINE GLEICK NORDGREN SENIOR CENTER,4 GODDARD DR,AUBURN,MA,1501,2486.0,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
THE GODDARD SCHOOL,494 WASHINGTON ST,AUBURN,MA,1501,2709.0,25027,WORCESTER,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
AUBURN FAMILY INSTITUTE,6 SOUTH TER,AUBURN,MA,1501,2816.0,25027,WORCESTER,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
BLACKSTONE NURSING HOME,8 BUTLER ST,BLACKSTONE,MA,1504,1541.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,30.0,,,,Healthcare
BLACKSTONE SENIOR CENTER,15 SAINT PAUL ST,BLACKSTONE,MA,1504,2276.0,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
THE OVERLOOK MASONIC HEALTH CENTER,PO BOX 1000,CHARLTON,MA,1507,1000.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,138.0,,,,Healthcare
BAY PATH REG VOCATIONAL TECH HIGH SCHOOL,57 OLD MUGGETT HILL RD,CHARLTON,MA,1507,1331.0,25027,WORCESTER,1122.0,SECONDARY SCHOOL,UNCODED,1001 TO 2000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,,,,,Educational Instituions
CLINTON HOSPITAL UMASS MEMORIAL,201 HIGHLAND ST,CLINTON,MA,1510,1037.0,25027,WORCESTER,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,COMPASS,UNCODED,501 TO 1000,,,,,Healthcare
CLINTON SENIOR CITIZENS CENTER,200 HIGH ST,CLINTON,MA,1510,2556.0,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
CLINTON PUBLIC SCHOOLS,150 SCHOOL ST,CLINTON,MA,1510,2915.0,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,,Government Services
HASSANAMESIT VLG EARLY LEARNING CENTER,PO BOX 566,GRAFTON,MA,1519,566.0,25027,WORCESTER,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
GRAFTON SENIOR CENTER,30 PROVIDENCE RD,GRAFTON,MA,1519,1511.0,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
GRAFTON PUBLIC SCHOOL DISTRICT,30 PROVIDENCE RD,GRAFTON,MA,1519,1511.0,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,,Government Services
HOLDEN SENIOR CENTER,1130 MAIN ST,HOLDEN,MA,1520,1273.0,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
HOLDEN REHAB AND NURSING CENTER,32 MAYO DR,HOLDEN,MA,1520,1512.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,90.0,,,,Healthcare
WACHUSETT EXTENDED CARE FACILITY,56 BOYDEN RD,HOLDEN,MA,1520,2570.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,40.0,,,,Healthcare
WACHUSETT REGIONAL SCHOOL DISTRICT,1745 MAIN ST,JEFFERSON,MA,1522,1102.0,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,751-999,OVER 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,,,,,Government Services
DR F PERKINS SCHOOL RESIDENTIAL TRTMNT,971 MAIN ST,LANCASTER,MA,1523,2569.0,25027,WORCESTER,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,PRIVATE,51 TO 100,,,,,Healthcare
LEICESTER SENIOR CENTER,40 WINSLOW AVE,LEICESTER,MA,1524,1113.0,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
LEICESTER PUBLIC SCHOOLS,1078 MAIN ST,LEICESTER,MA,1524,1396.0,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,1-250,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,,Government Services
BECKER COLLEGE-LEICESTER,964 MAIN ST,LEICESTER,MA,1524,1310.0,25027,WORCESTER,1122.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,SODEXO,PRIVATE,251 TO 500,,,,,Educational Instituions
MILLBURY SENIOR CENTER,1 RIVER ST,MILLBURY,MA,1527,2605.0,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
